subject,condition,trial,hangingWeight,power,cadence,torque,lean
1,3,1,22.5,1392,116,114.591559026165,NaN
1,1,1,22.5,1309,114,109.649379214364,NaN
1,2,1,22.5,1332,114,111.575991683371,NaN
1,1,2,22.5,1366,117,111.490078083861,NaN
1,2,2,22.5,1320,111,113.559202638542,NaN
1,3,2,22.5,1428,119,114.591559026165,NaN
1,2,3,22.5,1297,117,105.858441635994,NaN
1,1,3,22.5,1358,115,112.764737070675,NaN
1,3,3,22.5,1407,120,111.965502465148,NaN
2,1,1,20.5,1033,111,88.8686790345556,NaN
2,2,1,20.5,1020,116,83.9679527346896,NaN
2,3,1,20.5,1146,122,89.7007695655633,NaN
2,2,2,20.5,1079,120,85.8640917980775,NaN
2,3,2,20.5,1135,124,87.4068679399845,NaN
2,1,2,20.5,1030,116,84.7911679575787,NaN
2,3,3,20.5,1168,123,90.6794992835775,NaN
2,1,3,20.5,1122,119,90.0362249491294,NaN
2,2,3,20.5,1075,124,82.7862405598972,NaN
3,1,1,19.5,1152,116,94.8343936768259,NaN
3,2,1,19.5,1073,110,93.1490476023293,NaN
3,3,1,19.5,1122,119,90.0362249491294,NaN
3,2,2,19.5,1110,111,95.4929658551372,NaN
3,3,2,19.5,1181,121,93.2042914668736,NaN
3,1,2,19.5,1118,118,90.47553883563,NaN
3,3,3,19.5,1196,122,93.6144157071673,NaN
3,1,3,19.5,1253,124,96.4941017874894,NaN
3,2,3,19.5,1107,122,86.6481255751122,NaN
4,1,1,18.5,900,105,81.8511135901176,NaN
4,2,1,18.5,871,100,83.1743732598245,NaN
4,3,1,18.5,927,108,81.9647956923261,NaN
4,3,2,18.5,897,110,77.8701730655073,NaN
4,1,2,18.5,963,110,83.5997510168156,NaN
4,2,2,18.5,879,101,83.1072445412531,NaN
4,2,3,18.5,871,103,80.7518186988588,NaN
4,3,3,18.5,917,105,83.3971901801532,NaN
4,1,3,18.5,887,105,80.6688197271492,NaN
5,1,1,17.5,908,105,82.578679044252,NaN
5,2,1,17.5,787,96,78.284337633326,4.16833600302162
5,3,1,17.5,808,100,77.1583164109509,1.36958358819593
5,3,2,17.5,829,103,76.8579307707852,1.01787987226596
5,1,2,17.5,859,104,78.8735169899643,12.6163704494808
5,2,2,17.5,683,92,70.8931474772377,2.86672905114709
5,2,3,17.5,774,99,74.6581369412891,2.35502274103418
5,3,3,17.5,821,103,76.1162378321045,0.796473431263222
5,1,3,17.5,899,106,80.9888455695928,12.3451153267895
6,1,1,14.5,861,116,70.8788306907527,5.51799109350688
6,2,1,14.5,699,105,63.5710315549913,2.73815525053078
6,3,1,14.5,815,112,69.4881849749436,0.45592127714379
6,3,2,14.5,804,115,66.7620387369829,0.429936933897676
6,1,2,14.5,828,116,68.1622204552186,3.58040672960915
6,2,2,14.5,735,104,67.4878172149287,2.54297739587644
6,2,3,14.5,737,107,65.7741269488188,NaN
6,3,3,14.5,813,108,71.8849826298394,0.291073118274207
6,1,3,14.5,733,112,62.496735689121,7.02193371643538
7,1,1,18.5,876,108,77.4554056380557,8.44270878889711
7,2,1,18.5,855,101,80.8381047585568,1.5524469207267
7,3,1,18.5,848,104,77.8634952357273,NaN
7,3,2,18.5,775,99,74.7545944825569,0.262158565136873
7,1,2,18.5,862,106,77.6556005350267,9.1098959909343
7,2,2,18.5,840,103,77.8777585614711,NaN
7,2,3,18.5,792,101,74.8816128289789,2.89101596876051
7,3,3,18.5,835,104,76.669833162538,1.39793455806501
7,1,3,18.5,857,102,80.2328154292672,10.2741985636622
8,1,1,25,1414,118,114.429706541664,6.49257017950301
8,2,1,25,1408,116,115.908703382787,1.80442324575831
8,3,1,25,1468,123,113.970466565318,0.581287991205149
8,2,2,25,1383,116,113.850665325564,2.14981673278855
8,3,2,25,1408,123,109.31227310897,0.969406515303436
8,1,2,25,1391,119,111.622450003778,4.24793269076496
8,3,3,25,1360,120,108.225361302489,0.907136167003005
8,1,3,25,1396,120,111.090150278143,NaN
8,2,3,25,1396,118,112.973034181162,1.89454964047571
9,1,1,17,897,108,79.3122133074612,11.9609605052778
9,3,1,17,909,109,79.6358770296511,0.524980293216043
9,2,1,17,870,105,79.1227431371137,3.98218673358108
9,2,2,17,824,110,71.5329126042119,5.2457836005441
9,3,2,17,948,114,79.4099400269036,NaN
9,1,2,17,937,119,75.1906798371963,8.05624039894129
9,1,3,17,923,115,76.6434847689492,7.15419903817155
9,2,3,17,932,116,76.7236587732654,3.3707946453332
9,3,3,17,969,115,80.4632034031547,0.844337706700501
10,1,1,20,1150,114,96.3306234503577,22.5931337739338
10,2,1,20,1061,119,85.1412073716811,9.06405716791312
10,3,1,20,1131,111,97.2995895334776,NaN
10,3,2,20,1210,129,89.5709214610202,NaN
10,1,2,20,1142,115,94.8286669622319,17.7814416700324
10,2,2,20,1116,114,93.482587626608,3.36966553378283
10,3,3,20,1262,131,91.9939869535749,NaN
10,2,3,20,1104,120,87.8535285867262,4.95106819324943
10,1,3,20,1144,110,99.3126844893427,21.7653239589332
11,1,1,15,814,111,70.0281749604339,17.1249472493312
11,3,1,15,844,129,62.4775683579347,0.999631608674232
11,2,1,15,811,127,60.9801537862333,6.17088735680392
11,1,2,15,908,134,64.7071738779586,17.5827554975961
11,2,2,15,862,134,61.429057139648,5.25209836244318
11,3,2,15,896,135,63.3790351157059,0.730851041509628
11,2,3,15,869,133,62.3935243068528,5.99311475384653
11,3,3,15,887,132,64.1683793284142,0.757541274350331
11,1,3,15,877,133,62.9679180864326,17.2332273712491
12,2,1,15,626,94,63.5942517290595,5.28332797892323
12,3,1,15,744,108,65.7840431446501,1.66319904605785
12,1,1,15,672,100,64.1712730546522,10.1405846473474
12,3,2,15,717,110,62.2440513801213,NaN
12,1,2,15,662,101,62.5904390060404,NaN
12,2,2,15,679,102,63.5683566819982,4.49214982344514
12,2,3,15,692,105,62.9344117826238,NaN
12,1,3,15,699,105,63.5710315549913,NaN
12,3,3,15,692,108,61.1862336775509,0.94837882765658
13,1,1,25.5,1361,108,120.338820860039,3.49296393009209
13,2,1,25.5,1357,109,118.884362078368,NaN
13,3,1,25.5,1392,114,116.601937254694,1.80458568985848
13,3,2,25.5,1425,117,116.305535336385,NaN
13,1,2,25.5,1335,116,109.899232255697,NaN
13,2,2,25.5,1336,114,111.911054721459,3.88587568759055
13,3,3,25.5,1418,119,113.789097128222,1.16165682852607
13,2,3,25.5,1320,115,109.609317329375,1.31647504071477
13,1,3,25.5,1352,118,109.412279522157,5.48746816879524
14,2,1,12,764,129,56.5555239638177,NaN
14,3,1,12,892,132,64.5300951081685,0.382691761439238
14,1,1,12,925,129,68.4736383069782,12.3103332235778
14,2,2,12,864,134,61.5715839543571,NaN
14,1,2,12,925,136,64.9492598647073,9.02144184878618
14,3,2,12,905,141,61.2915844673044,0.623318209114256
14,3,3,12,962,142,64.6931219384803,0.570954054115199
14,2,3,12,847,128,63.1894859994541,NaN
14,1,3,12,912,125,69.6716678879081,15.0483500012267
15,1,1,23.5,1066,102,99.7995113740944,4.9206984311965
15,2,1,23.5,971,92,100.786597657976,3.80928553170656
15,3,1,23.5,1035,94,105.143850702199,0.358512371777481
15,3,2,23.5,1059,96,105.340677958948,0.879481310820334
15,1,2,23.5,1052,92,109.194130521309,4.79330234094719
15,2,2,23.5,967,84,109.930592835616,3.64330917400127
15,3,3,23.5,1029,94,104.534321132911,0.444661095834229
15,2,3,23.5,1032,90,109.498600847224,3.36256723998703
15,1,3,23.5,1030,93,105.761026699776,5.18161423751818
16,1,1,20,918,100,87.662542655016,4.85170549659229
16,2,1,20,851,97,83.7778494254864,2.24311530118102
16,3,1,20,901,102,84.3521198387045,NaN
16,3,2,20,910,103,84.3675717749271,0.762187565674993
16,2,2,20,890,99,85.8472117283557,1.95594283138976
16,1,2,20,918,101,86.7945966881346,14.0655679135241
16,2,3,20,910,101,86.0382167605692,1.50906797171491
16,3,3,20,955,100,91.195782391656,NaN
16,1,3,20,894,99,86.2330418934269,10.52593778063
17,1,1,12,690,118,55.8391071525802,9.97058994308171
17,2,1,12,640,109,56.0692643553099,3.60840503787356
17,3,1,12,657,116,54.0852401438148,0.485226180664808
17,1,2,12,687,114,57.5470767916485,8.44282825463992
17,3,2,12,665,112,56.6989484764877,0.578684735867449
17,2,2,12,640,107,57.1172879881194,NaN
17,1,3,12,687,114,57.5470767916485,7.04833325568232
17,2,3,12,645,111,55.4891558347419,3.99462437536868
17,3,3,12,647,115,53.7251729637163,0.659372775843485
18,1,1,12,657,114,55.034104005987,9.92507347939522
18,2,1,12,605,108,53.4937447614426,5.58908499248993
18,3,1,12,675,117,55.0920956856561,1.0018146267926
18,3,2,12,674,114,56.4581219178618,1.08396835178492
18,1,2,12,660,109,57.8214288664133,10.6164346825113
18,2,2,12,662,113,55.9436667222131,6.76203087025394
18,3,3,12,706,119,56.6538099947285,0.922478274411301
18,2,3,12,637,112,54.3116243301093,6.09687878102842
18,1,3,12,666,115,55.3028828343664,8.89709668077828
19,1,1,17,829,92,86.0474659716399,3.61155531091326
19,3,1,17,780,88,84.641492462508,0.352508668106322
19,2,1,17,775,91,81.3264269645399,3.22271658529976
19,3,2,17,789,93,81.0150000641971,0.442740104301105
19,2,2,17,766,90,81.2751242722612,3.49960317538598
19,1,2,17,883,92,91.6524878805284,4.32898967759192
19,3,3,17,781,90,82.8666737031802,0.664730612921776
19,2,3,17,774,91,81.2214896394244,2.80964024750108
19,1,3,17,847,96,84.2526479992721,4.29484159271052
